lat,lon,time,gpp,sitename,IGBPcode
-33.4648,-66.4598,2009-01-31 00:00:00,13.5343,AR-SLu,MF
-33.4648,-66.4598,2009-02-28 00:00:00,12.9021,AR-SLu,MF
-33.4648,-66.4598,2009-03-31 00:00:00,11.3511,AR-SLu,MF
-33.4648,-66.4598,2009-04-30 00:00:00,9.99642,AR-SLu,MF
-33.4648,-66.4598,2009-05-31 00:00:00,8.26147,AR-SLu,MF
-33.4648,-66.4598,2009-06-30 00:00:00,8.16151,AR-SLu,MF
-33.4648,-66.4598,2009-07-31 00:00:00,8.32648,AR-SLu,MF
-33.4648,-66.4598,2009-08-31 00:00:00,9.96707,AR-SLu,MF
-33.4648,-66.4598,2009-09-30 00:00:00,11.322,AR-SLu,MF
-33.4648,-66.4598,2009-10-31 00:00:00,13.2149,AR-SLu,MF
-33.4648,-66.4598,2009-11-30 00:00:00,14.0483,AR-SLu,MF
-33.4648,-66.4598,2009-12-31 00:00:00,12.4302,AR-SLu,MF
-33.4648,-66.4598,2010-01-31 00:00:00,11.9133,AR-SLu,MF
-33.4648,-66.4598,2010-02-28 00:00:00,9.97563,AR-SLu,MF
-33.4648,-66.4598,2010-03-31 00:00:00,9.00824,AR-SLu,MF
-33.4648,-66.4598,2010-04-30 00:00:00,6.54333,AR-SLu,MF
-33.4648,-66.4598,2010-05-31 00:00:00,4.15484,AR-SLu,MF
-33.4648,-66.4598,2010-06-30 00:00:00,3.77937,AR-SLu,MF
-33.4648,-66.4598,2010-07-31 00:00:00,4.96256,AR-SLu,MF
-33.4648,-66.4598,2010-08-31 00:00:00,4.62644,AR-SLu,MF
-33.4648,-66.4598,2010-09-30 00:00:00,6.19395,AR-SLu,MF
-33.4648,-66.4598,2010-10-31 00:00:00,8.25182,AR-SLu,MF
-33.4648,-66.4598,2010-11-30 00:00:00,10.7219,AR-SLu,MF
-33.4648,-66.4598,2010-12-31 00:00:00,10.7608,AR-SLu,MF
-33.4648,-66.4598,2011-01-31 00:00:00,9.98886,AR-SLu,MF
-33.4648,-66.4598,2011-02-28 00:00:00,8.86797,AR-SLu,MF
-33.4648,-66.4598,2011-03-31 00:00:00,8.72651,AR-SLu,MF
-33.4648,-66.4598,2011-04-30 00:00:00,6.97764,AR-SLu,MF
-33.4648,-66.4598,2011-05-31 00:00:00,5.78542,AR-SLu,MF
-33.4648,-66.4598,2011-06-30 00:00:00,5.08702,AR-SLu,MF
-33.4648,-66.4598,2011-07-31 00:00:00,5.46042,AR-SLu,MF
-33.4648,-66.4598,2011-08-31 00:00:00,7.21983,AR-SLu,MF
-33.4648,-66.4598,2011-09-30 00:00:00,9.20842,AR-SLu,MF
-33.4648,-66.4598,2011-10-31 00:00:00,9.42156,AR-SLu,MF
-33.4648,-66.4598,2011-11-30 00:00:00,10.9679,AR-SLu,MF
-33.4648,-66.4598,2011-12-31 00:00:00,11.7476,AR-SLu,MF
-28.2395,-56.1886,2009-01-31 00:00:00,-9999,AR-Vir,ENF
-28.2395,-56.1886,2009-02-28 00:00:00,-9999,AR-Vir,ENF
-28.2395,-56.1886,2009-03-31 00:00:00,-9999,AR-Vir,ENF
-28.2395,-56.1886,2009-04-30 00:00:00,-9999,AR-Vir,ENF
