lat,lon,time,gpp
50.96,13.57,1996-01-31 00:00:00,1.0514054575093966e-08
50.96,13.57,1996-02-28 00:00:00,8.561451273009202e-09
50.96,13.57,1996-03-31 00:00:00,2.16185228986982e-08
50.96,13.57,1996-04-30 00:00:00,6.699861465955154e-08
50.96,13.57,1996-05-31 00:00:00,7.881233660072729e-08
50.96,13.57,1996-06-30 00:00:00,9.897254913394785e-08
50.96,13.57,1996-07-31 00:00:00,1.0036979027732789e-07
50.96,13.57,1996-08-31 00:00:00,9.5631969639711e-08
50.96,13.57,1996-09-30 00:00:00,5.848634451723362e-08
50.96,13.57,1996-10-31 00:00:00,4.8452525378787616e-08
50.96,13.57,1996-11-30 00:00:00,2.7012754999122047e-08
50.96,13.57,1996-12-31 00:00:00,1.1712693531128827e-08
50.96,13.57,1997-01-31 00:00:00,1.2510999840723718e-08
50.96,13.57,1997-02-28 00:00:00,3.1431664545990395e-08
50.96,13.57,1997-03-31 00:00:00,4.3373682737716966e-08
50.96,13.57,1997-04-30 00:00:00,5.3639812011239904e-08
50.96,13.57,1997-05-31 00:00:00,9.18482268318455e-08
50.96,13.57,1997-06-30 00:00:00,1.0862939458999879e-07
50.96,13.57,1997-07-31 00:00:00,1.0377691466262311e-07
50.96,13.57,1997-08-31 00:00:00,1.0220151515077708e-07
50.96,13.57,1997-09-30 00:00:00,7.931810841915608e-08
50.96,13.57,1997-10-31 00:00:00,4.532908708176561e-08
50.96,13.57,1997-11-30 00:00:00,2.5018734013335526e-08
50.96,13.57,1997-12-31 00:00:00,1.803425129988951e-08
50.96,13.57,1998-01-31 00:00:00,2.1937116895407165e-08
50.96,13.57,1998-02-28 00:00:00,3.370213639239154e-08
50.96,13.57,1998-03-31 00:00:00,3.982217369509514e-08
50.96,13.57,1998-04-30 00:00:00,7.23853646841562e-08
50.96,13.57,1998-05-31 00:00:00,9.49565500198192e-08
50.96,13.57,1998-06-30 00:00:00,1.0534273561494797e-07
50.96,13.57,1998-07-31 00:00:00,1.0173959694865885e-07
50.96,13.57,1998-08-31 00:00:00,9.026585438407107e-08
50.96,13.57,1998-09-30 00:00:00,7.347479393129457e-08
50.96,13.57,1998-10-31 00:00:00,4.2900470281979364e-08
50.96,13.57,1998-11-30 00:00:00,2.009146036958512e-08
50.96,13.57,1998-12-31 00:00:00,1.753059050441847e-08
50.96,13.57,1999-01-31 00:00:00,2.395016487894007e-08
50.96,13.57,1999-02-28 00:00:00,2.0063717157307927e-08
50.96,13.57,1999-03-31 00:00:00,4.410491524386137e-08
50.96,13.57,1999-04-30 00:00:00,6.7353765102117e-08
50.96,13.57,1999-05-31 00:00:00,9.775396456874262e-08
50.96,13.57,1999-06-30 00:00:00,1.043432935906378e-07
50.96,13.57,1999-07-31 00:00:00,1.0944659965343329e-07
50.96,13.57,1999-08-31 00:00:00,9.865415851972095e-08
50.96,13.57,1999-09-30 00:00:00,8.530331681103549e-08
50.96,13.57,1999-10-31 00:00:00,4.7069821371389414e-08
50.96,13.57,1999-11-30 00:00:00,2.45070321712458e-08
50.96,13.57,1999-12-31 00:00:00,1.7539471362658103e-08
50.96,13.57,2000-01-31 00:00:00,1.6300080403098856e-08
50.96,13.57,2000-02-28 00:00:00,2.8053244585541004e-08
50.96,13.57,2000-03-31 00:00:00,3.639304222448989e-08
50.96,13.57,2000-04-30 00:00:00,7.70409858433901e-08
50.96,13.57,2000-05-31 00:00:00,1.0183707413394208e-07
50.96,13.57,2000-06-30 00:00:00,1.0395900149930501e-07
50.96,13.57,2000-07-31 00:00:00,1.0032501599450528e-07
50.96,13.57,2000-08-31 00:00:00,1.0142857748429339e-07
50.96,13.57,2000-09-30 00:00:00,7.825820404096745e-08
50.96,13.57,2000-10-31 00:00:00,5.2165200954027736e-08
50.96,13.57,2000-11-30 00:00:00,3.3392769153974194e-08
50.96,13.57,2000-12-31 00:00:00,2.271122384628616e-08
50.96,13.57,2001-01-31 00:00:00,1.876333156362914e-08
50.96,13.57,2001-02-28 00:00:00,2.546900865508163e-08
50.96,13.57,2001-03-31 00:00:00,3.562222210293009e-08
50.96,13.57,2001-04-30 00:00:00,6.171808059734903e-08
50.96,13.57,2001-05-31 00:00:00,9.752333194461006e-08
50.96,13.57,2001-06-30 00:00:00,1.0003114107344611e-07
50.96,13.57,2001-07-31 00:00:00,1.0806383846389873e-07
50.96,13.57,2001-08-31 00:00:00,9.516870738902894e-08
50.96,13.57,2001-09-30 00:00:00,6.288659485177686e-08
50.96,13.57,2001-10-31 00:00:00,6.084333775030949e-08
50.96,13.57,2001-11-30 00:00:00,2.3810779775459053e-08
50.96,13.57,2001-12-31 00:00:00,1.2774907057024756e-08
50.96,13.57,2002-01-31 00:00:00,2.2005299675071233e-08
50.96,13.57,2002-02-28 00:00:00,3.3166400170160034e-08
50.96,13.57,2002-03-31 00:00:00,4.389085420803523e-08
50.96,13.57,2002-04-30 00:00:00,6.442810844589812e-08
50.96,13.57,2002-05-31 00:00:00,9.685015696338493e-08
50.96,13.57,2002-06-30 00:00:00,1.0815665672703633e-07
50.96,13.57,2002-07-31 00:00:00,1.0343635777817567e-07
50.96,13.57,2002-08-31 00:00:00,9.718101274562424e-08
50.96,13.57,2002-09-30 00:00:00,7.308678020221024e-08
50.96,13.57,2002-10-31 00:00:00,4.279366697766661e-08
50.96,13.57,2002-11-30 00:00:00,2.7402620271576334e-08
50.96,13.57,2002-12-31 00:00:00,8.985952914281728e-09
50.96,13.57,2003-01-31 00:00:00,1.323059352484122e-08
50.96,13.57,2003-02-28 00:00:00,1.5754257828202454e-08
50.96,13.57,2003-03-31 00:00:00,4.585030825842994e-08
50.96,13.57,2003-04-30 00:00:00,6.829225484807826e-08
50.96,13.57,2003-05-31 00:00:00,1.000710086699839e-07
50.96,13.57,2003-06-30 00:00:00,1.1344209304460727e-07
50.96,13.57,2003-07-31 00:00:00,1.0551982619452708e-07
50.96,13.57,2003-08-31 00:00:00,9.667879150283509e-08
50.96,13.57,2003-09-30 00:00:00,7.916211709622235e-08
50.96,13.57,2003-10-31 00:00:00,3.956534887103189e-08
50.96,13.57,2003-11-30 00:00:00,3.2889926656220705e-08
50.96,13.57,2003-12-31 00:00:00,1.8953005273983123e-08
50.96,13.57,2004-01-31 00:00:00,1.352016288417384e-08
50.96,13.57,2004-02-28 00:00:00,2.4180276657334847e-08
50.96,13.57,2004-03-31 00:00:00,4.02239050841301e-08
50.96,13.57,2004-04-30 00:00:00,7.183247518558036e-08
50.96,13.57,2004-05-31 00:00:00,8.34520167917968e-08
50.96,13.57,2004-06-30 00:00:00,1.0884412426371708e-07
50.96,13.57,2004-07-31 00:00:00,1.0608494601610399e-07
50.96,13.57,2004-08-31 00:00:00,1.0212297713026832e-07
50.96,13.57,2004-09-30 00:00:00,7.853260472898182e-08
50.96,13.57,2004-10-31 00:00:00,5.282466705279804e-08
50.96,13.57,2004-11-30 00:00:00,2.257919835263189e-08
50.96,13.57,2004-12-31 00:00:00,1.7665799954376006e-08
50.96,13.57,2005-01-31 00:00:00,1.9269266649285936e-08
50.96,13.57,2005-02-28 00:00:00,1.6092276070561734e-08
50.96,13.57,2005-03-31 00:00:00,3.868993453216359e-08
50.96,13.57,2005-04-30 00:00:00,7.317451465473744e-08
50.96,13.57,2005-05-31 00:00:00,8.695056433564566e-08
50.96,13.57,2005-06-30 00:00:00,1.0718592964671243e-07
50.96,13.57,2005-07-31 00:00:00,1.0349186739133453e-07
50.96,13.57,2005-08-31 00:00:00,9.115231559687259e-08
50.96,13.57,2005-09-30 00:00:00,8.082184531231685e-08
50.96,13.57,2005-10-31 00:00:00,5.822407438377612e-08
50.96,13.57,2005-11-30 00:00:00,2.7510467989675065e-08
50.96,13.57,2005-12-31 00:00:00,1.4466904059732865e-08
50.96,13.57,2006-01-31 00:00:00,1.1518042728212412e-08
50.96,13.57,2006-02-28 00:00:00,1.2953887157855633e-08
50.96,13.57,2006-03-31 00:00:00,2.466671185164118e-08
50.96,13.57,2006-04-30 00:00:00,6.618969660860864e-08
50.96,13.57,2006-05-31 00:00:00,9.809181576754329e-08
50.96,13.57,2006-06-30 00:00:00,1.0665954429962266e-07
50.96,13.57,2006-07-31 00:00:00,1.0390792614098138e-07
50.96,13.57,2006-08-31 00:00:00,9.114063153709858e-08
50.96,13.57,2006-09-30 00:00:00,8.845207555904328e-08
50.96,13.57,2006-10-31 00:00:00,5.718240216611973e-08
50.96,13.57,2006-11-30 00:00:00,3.251768162567428e-08
50.96,13.57,2006-12-31 00:00:00,2.3152563397189146e-08
50.96,13.57,2007-01-31 00:00:00,2.359369531565627e-08
50.96,13.57,2007-02-28 00:00:00,2.9068429339326465e-08
50.96,13.57,2007-03-31 00:00:00,4.983451692808641e-08
50.96,13.57,2007-04-30 00:00:00,8.354120528160925e-08
50.96,13.57,2007-05-31 00:00:00,9.895686131903592e-08
50.96,13.57,2007-06-30 00:00:00,1.1032259511977376e-07
50.96,13.57,2007-07-31 00:00:00,1.016417628052824e-07
50.96,13.57,2007-08-31 00:00:00,9.824937023732793e-08
50.96,13.57,2007-09-30 00:00:00,7.022195806117802e-08
50.96,13.57,2007-10-31 00:00:00,4.4588492615373804e-08
50.96,13.57,2007-11-30 00:00:00,2.161803824266397e-08
50.96,13.57,2007-12-31 00:00:00,1.6803814216032993e-08
50.96,13.57,2008-01-31 00:00:00,2.3033534049335504e-08
50.96,13.57,2008-02-28 00:00:00,3.226721150143411e-08
50.96,13.57,2008-03-31 00:00:00,4.018406355603193e-08
50.96,13.57,2008-04-30 00:00:00,6.138492650255774e-08
50.96,13.57,2008-05-31 00:00:00,1.0120801310146315e-07
50.96,13.57,2008-06-30 00:00:00,1.1432442602007899e-07
50.96,13.57,2008-07-31 00:00:00,1.0341472630413183e-07
50.96,13.57,2008-08-31 00:00:00,9.818984192248883e-08
50.96,13.57,2008-09-30 00:00:00,7.056095131930332e-08
50.96,13.57,2008-10-31 00:00:00,5.018486854344559e-08
50.96,13.57,2008-11-30 00:00:00,2.8146175924163164e-08
50.96,13.57,2008-12-31 00:00:00,1.4773077109467187e-08
50.96,13.57,2009-01-31 00:00:00,1.4660694062731758e-08
50.96,13.57,2009-02-28 00:00:00,2.066165158418358e-08
50.96,13.57,2009-03-31 00:00:00,3.838747758607878e-08
50.96,13.57,2009-04-30 00:00:00,8.884756961766201e-08
50.96,13.57,2009-05-31 00:00:00,9.317048921603354e-08
50.96,13.57,2009-06-30 00:00:00,9.788917396215296e-08
50.96,13.57,2009-07-31 00:00:00,1.0990384975220738e-07
50.96,13.57,2009-08-31 00:00:00,1.0232661901099623e-07
50.96,13.57,2009-09-30 00:00:00,8.157039650362998e-08
50.96,13.57,2009-10-31 00:00:00,4.247690148579224e-08
50.96,13.57,2009-11-30 00:00:00,3.371901511171016e-08
50.96,13.57,2009-12-31 00:00:00,1.4469504940771899e-08
50.96,13.57,2010-01-31 00:00:00,9.661542721313611e-09
50.96,13.57,2010-02-28 00:00:00,2.3105383890287628e-08
50.96,13.57,2010-03-31 00:00:00,4.388847274208528e-08
50.96,13.57,2010-04-30 00:00:00,7.096481101267711e-08
50.96,13.57,2010-05-31 00:00:00,7.923791955457438e-08
50.96,13.57,2010-06-30 00:00:00,1.0998107817423277e-07
50.96,13.57,2010-07-31 00:00:00,1.0294037222800427e-07
50.96,13.57,2010-08-31 00:00:00,9.218425736691647e-08
50.96,13.57,2010-09-30 00:00:00,7.054541562723392e-08
50.96,13.57,2010-10-31 00:00:00,5.007642457434757e-08
50.96,13.57,2010-11-30 00:00:00,2.628583066435385e-08
50.96,13.57,2010-12-31 00:00:00,8.492191594611612e-09
50.96,13.57,2011-01-31 00:00:00,1.8188694346588326e-08
50.96,13.57,2011-02-28 00:00:00,2.10220273347845e-08
50.96,13.57,2011-03-31 00:00:00,4.768892907066131e-08
50.96,13.57,2011-04-30 00:00:00,7.992716605304832e-08
50.96,13.57,2011-05-31 00:00:00,1.0208337568758844e-07
50.96,13.57,2011-06-30 00:00:00,1.100385737568541e-07
50.96,13.57,2011-07-31 00:00:00,1.0077104961311121e-07
50.96,13.57,2011-08-31 00:00:00,9.94848617800933e-08
50.96,13.57,2011-09-30 00:00:00,8.619035646640616e-08
50.96,13.57,2011-10-31 00:00:00,5.351462278855453e-08
50.96,13.57,2011-11-30 00:00:00,3.5806143606616653e-08
50.96,13.57,2011-12-31 00:00:00,1.9365488483415347e-08
50.96,13.57,2012-01-31 00:00:00,1.6996396402815127e-08
50.96,13.57,2012-02-28 00:00:00,1.3028629006365419e-08
50.96,13.57,2012-03-31 00:00:00,5.23334417101142e-08
50.96,13.57,2012-04-30 00:00:00,6.8403316640914e-08
50.96,13.57,2012-05-31 00:00:00,1.0161330262631152e-07
