lat,lon,time,gpp
5.28,307.08,2004-01-31 00:00:00,9.709123753974697e-08
5.28,307.08,2004-02-28 00:00:00,9.879663024298452e-08
5.28,307.08,2004-03-31 00:00:00,9.616158933067777e-08
5.28,307.08,2004-04-30 00:00:00,9.496690538168037e-08
5.28,307.08,2004-05-31 00:00:00,9.752331511050431e-08
5.28,307.08,2004-06-30 00:00:00,9.750312117948329e-08
5.28,307.08,2004-07-31 00:00:00,1.0406209442316898e-07
5.28,307.08,2004-08-31 00:00:00,1.0569638373286678e-07
5.28,307.08,2004-09-30 00:00:00,8.905766166486476e-08
5.28,307.08,2004-10-31 00:00:00,6.594587508775728e-08
5.28,307.08,2004-11-30 00:00:00,7.641754314742771e-08
5.28,307.08,2004-12-31 00:00:00,5.353452875237966e-08
5.28,307.08,2005-01-31 00:00:00,8.760440796378494e-08
5.28,307.08,2005-02-28 00:00:00,9.753357959694564e-08
5.28,307.08,2005-03-31 00:00:00,1.0128907952593058e-07
5.28,307.08,2005-04-30 00:00:00,9.051950861954268e-08
5.28,307.08,2005-05-31 00:00:00,9.865823327019532e-08
5.28,307.08,2005-06-30 00:00:00,1.026727857048076e-07
5.28,307.08,2005-07-31 00:00:00,1.0273110829234983e-07
5.28,307.08,2005-08-31 00:00:00,1.0501032172985144e-07
5.28,307.08,2005-09-30 00:00:00,7.583511014984941e-08
5.28,307.08,2005-10-31 00:00:00,2.4725593968968096e-08
5.28,307.08,2005-11-30 00:00:00,3.909394317368722e-08
5.28,307.08,2005-12-31 00:00:00,8.751113337982877e-08
5.28,307.08,2006-01-31 00:00:00,8.745843200408314e-08
5.28,307.08,2006-02-28 00:00:00,9.610497595762328e-08
5.28,307.08,2006-03-31 00:00:00,9.62347844075345e-08
5.28,307.08,2006-04-30 00:00:00,9.844163841924966e-08
5.28,307.08,2006-05-31 00:00:00,9.407836560043306e-08
5.28,307.08,2006-06-30 00:00:00,9.767084127257258e-08
5.28,307.08,2006-07-31 00:00:00,1.0365615054109681e-07
5.28,307.08,2006-08-31 00:00:00,1.0406975673920902e-07
5.28,307.08,2006-09-30 00:00:00,7.526612473250225e-08
5.28,307.08,2006-10-31 00:00:00,4.303138487032223e-08
5.28,307.08,2006-11-30 00:00:00,9.72577804801562e-08
5.28,307.08,2006-12-31 00:00:00,9.311223922562312e-08
5.28,307.08,2007-01-31 00:00:00,9.391953793312676e-08
5.28,307.08,2007-02-28 00:00:00,9.838963726153614e-08
5.28,307.08,2007-03-31 00:00:00,9.711906944560461e-08
5.28,307.08,2007-04-30 00:00:00,9.793588444992077e-08
5.28,307.08,2007-05-31 00:00:00,9.331908350346057e-08
