lat,lon,time,gpp
5.26,357.31,2011-01-31 00:00:00,9.607245796721271e-08
5.26,357.31,2011-02-28 00:00:00,9.818205697825715e-08
5.26,357.31,2011-03-31 00:00:00,1.031019703095115e-07
5.26,357.31,2011-04-30 00:00:00,1.0321512382812904e-07
5.26,357.31,2011-05-31 00:00:00,9.876611897523905e-08
5.26,357.31,2011-06-30 00:00:00,9.639575035945134e-08
5.26,357.31,2011-07-31 00:00:00,9.707127716898245e-08
5.26,357.31,2011-08-31 00:00:00,9.220209012365776e-08
5.26,357.31,2011-09-30 00:00:00,9.375882542831799e-08
5.26,357.31,2011-10-31 00:00:00,9.272023410443e-08
5.26,357.31,2011-11-30 00:00:00,9.906360557714591e-08
5.26,357.31,2011-12-31 00:00:00,9.577393652316798e-08
5.26,357.31,2012-01-31 00:00:00,9.624485877378225e-08
5.26,357.31,2012-02-28 00:00:00,9.586489389673421e-08
5.26,357.31,2012-03-31 00:00:00,1.0112719875074513e-07
5.26,357.31,2012-04-30 00:00:00,1.0656182144604399e-07
5.26,357.31,2012-05-31 00:00:00,1.0581389813588163e-07
5.26,357.31,2012-06-30 00:00:00,9.880696942173645e-08
5.26,357.31,2012-07-31 00:00:00,9.703748447153629e-08
5.26,357.31,2012-08-31 00:00:00,9.538503036461168e-08
5.26,357.31,2012-09-30 00:00:00,9.83876987616625e-08
5.26,357.31,2012-10-31 00:00:00,9.913570427008068e-08
5.26,357.31,2012-11-30 00:00:00,9.67036800547747e-08
5.26,357.31,2012-12-31 00:00:00,9.375924739887983e-08
5.26,357.31,2013-01-31 00:00:00,9.716907576712596e-08
5.26,357.31,2013-02-28 00:00:00,9.922257482478321e-08
5.26,357.31,2013-03-31 00:00:00,1.0172085369163784e-07
5.26,357.31,2013-04-30 00:00:00,1.0496007671546112e-07
5.26,357.31,2013-05-31 00:00:00,9.889083274028518e-08
5.26,357.31,2013-06-30 00:00:00,9.735788529387456e-08
5.26,357.31,2013-07-31 00:00:00,8.936651827915648e-08
5.26,357.31,2013-08-31 00:00:00,8.943782256554561e-08
5.26,357.31,2013-09-30 00:00:00,8.922673698682988e-08
5.26,357.31,2013-10-31 00:00:00,9.664298509682243e-08
5.26,357.31,2013-11-30 00:00:00,9.872172678150236e-08
5.26,357.31,2013-12-31 00:00:00,9.763222228520574e-08
5.26,357.31,2014-01-31 00:00:00,1.0185245360612765e-07
5.26,357.31,2014-02-28 00:00:00,9.904591203443494e-08
5.26,357.31,2014-03-31 00:00:00,1.0507909898190526e-07
5.26,357.31,2014-04-30 00:00:00,1.0681568622893742e-07
5.26,357.31,2014-05-31 00:00:00,1.0358689740314647e-07
5.26,357.31,2014-06-30 00:00:00,9.522152456576647e-08
5.26,357.31,2014-07-31 00:00:00,9.287962740153404e-08
5.26,357.31,2014-08-31 00:00:00,9.645370383133815e-08
5.26,357.31,2014-09-30 00:00:00,9.835803427509213e-08
5.26,357.31,2014-10-31 00:00:00,1.009215490419822e-07
5.26,357.31,2014-11-30 00:00:00,9.987686850058219e-08
5.26,357.31,2014-12-31 00:00:00,9.871146005078875e-08
