lat,lon,time,gpp
2.97,102.31,2003-01-31 00:00:00,5.754022219653742e-08
2.97,102.31,2003-02-28 00:00:00,7.118450072921561e-08
2.97,102.31,2003-03-31 00:00:00,4.6679770295910965e-08
2.97,102.31,2003-04-30 00:00:00,7.506991423613537e-08
2.97,102.31,2003-05-31 00:00:00,7.513407024662046e-08
2.97,102.31,2003-06-30 00:00:00,5.085791915542705e-08
2.97,102.31,2003-07-31 00:00:00,7.208125633125727e-08
2.97,102.31,2003-08-31 00:00:00,3.926636273411172e-08
2.97,102.31,2003-09-30 00:00:00,4.492294292402454e-08
2.97,102.31,2003-10-31 00:00:00,6.228733851232518e-08
2.97,102.31,2003-11-30 00:00:00,7.718747993038557e-08
2.97,102.31,2003-12-31 00:00:00,7.862549386792302e-08
2.97,102.31,2004-01-31 00:00:00,6.843236777710656e-08
2.97,102.31,2004-02-28 00:00:00,7.32382845246564e-08
2.97,102.31,2004-03-31 00:00:00,6.814141938519613e-08
2.97,102.31,2004-04-30 00:00:00,5.969444762862799e-08
2.97,102.31,2004-05-31 00:00:00,6.297113100329606e-08
2.97,102.31,2004-06-30 00:00:00,6.259273378295761e-08
2.97,102.31,2004-07-31 00:00:00,7.223366749775209e-08
2.97,102.31,2004-08-31 00:00:00,2.2935535683487646e-08
2.97,102.31,2004-09-30 00:00:00,4.2918002708673445e-08
2.97,102.31,2004-10-31 00:00:00,7.203344764641612e-08
2.97,102.31,2004-11-30 00:00:00,7.889160869886618e-08
2.97,102.31,2004-12-31 00:00:00,7.464495927786744e-08
2.97,102.31,2005-01-31 00:00:00,6.126455077502976e-08
2.97,102.31,2005-02-28 00:00:00,1.9138714268409208e-08
2.97,102.31,2005-03-31 00:00:00,5.266266869107853e-08
2.97,102.31,2005-04-30 00:00:00,7.373412343129707e-08
2.97,102.31,2005-05-31 00:00:00,7.64312851671874e-08
2.97,102.31,2005-06-30 00:00:00,6.426212571138426e-08
2.97,102.31,2005-07-31 00:00:00,6.124828209081624e-08
2.97,102.31,2005-08-31 00:00:00,5.930025589953456e-08
2.97,102.31,2005-09-30 00:00:00,5.451848225623101e-08
2.97,102.31,2005-10-31 00:00:00,6.563916719236482e-08
2.97,102.31,2005-11-30 00:00:00,7.276049309920098e-08
2.97,102.31,2005-12-31 00:00:00,7.718575195127644e-08
2.97,102.31,2006-01-31 00:00:00,7.455396063350234e-08
2.97,102.31,2006-02-28 00:00:00,7.753470719669441e-08
2.97,102.31,2006-03-31 00:00:00,6.267362860805602e-08
2.97,102.31,2006-04-30 00:00:00,7.275589473021889e-08
2.97,102.31,2006-05-31 00:00:00,7.644430415578528e-08
2.97,102.31,2006-06-30 00:00:00,8.062272966980637e-08
2.97,102.31,2006-07-31 00:00:00,7.372984098465085e-08
2.97,102.31,2006-08-31 00:00:00,4.288234733717227e-08
2.97,102.31,2006-09-30 00:00:00,7.488708101723677e-08
2.97,102.31,2006-10-31 00:00:00,6.847200326682154e-08
2.97,102.31,2006-11-30 00:00:00,7.836807409692302e-08
2.97,102.31,2006-12-31 00:00:00,7.48828323993047e-08
2.97,102.31,2007-01-31 00:00:00,7.624907161425882e-08
2.97,102.31,2007-02-28 00:00:00,7.559618609677678e-08
2.97,102.31,2007-03-31 00:00:00,6.580142827772406e-08
2.97,102.31,2007-04-30 00:00:00,7.845548399168749e-08
2.97,102.31,2007-05-31 00:00:00,8.010176963032947e-08
2.97,102.31,2007-06-30 00:00:00,8.1262974420416e-08
2.97,102.31,2007-07-31 00:00:00,7.996650884392091e-08
2.97,102.31,2007-08-31 00:00:00,7.249535740056522e-08
2.97,102.31,2007-09-30 00:00:00,6.733892701820694e-08
2.97,102.31,2007-10-31 00:00:00,6.384804675634015e-08
2.97,102.31,2007-11-30 00:00:00,7.711080488105385e-08
2.97,102.31,2007-12-31 00:00:00,7.370615692982659e-08
2.97,102.31,2008-01-31 00:00:00,7.786251747217966e-08
2.97,102.31,2008-02-28 00:00:00,6.767209649698086e-08
2.97,102.31,2008-03-31 00:00:00,7.779715842960637e-08
2.97,102.31,2008-04-30 00:00:00,7.911534889153605e-08
2.97,102.31,2008-05-31 00:00:00,8.153151572922319e-08
2.97,102.31,2008-06-30 00:00:00,8.1066052676472e-08
2.97,102.31,2008-07-31 00:00:00,8.461985092513685e-08
2.97,102.31,2008-08-31 00:00:00,7.901040339263141e-08
2.97,102.31,2008-09-30 00:00:00,8.011455517801614e-08
2.97,102.31,2008-10-31 00:00:00,7.977207830596933e-08
2.97,102.31,2008-11-30 00:00:00,8.144422423957712e-08
2.97,102.31,2008-12-31 00:00:00,8.08975886829778e-08
2.97,102.31,2009-01-31 00:00:00,7.429007915318823e-08
2.97,102.31,2009-02-28 00:00:00,4.1387268723800914e-08
2.97,102.31,2009-03-31 00:00:00,7.505646545103836e-08
2.97,102.31,2009-04-30 00:00:00,7.985367492436339e-08
2.97,102.31,2009-05-31 00:00:00,6.715931381149356e-08
2.97,102.31,2009-06-30 00:00:00,5.301824690477907e-08
2.97,102.31,2009-07-31 00:00:00,5.238664956891936e-08
2.97,102.31,2009-08-31 00:00:00,2.0307232457642656e-08
2.97,102.31,2009-09-30 00:00:00,4.5497115414860353e-08
2.97,102.31,2009-10-31 00:00:00,4.080196445713011e-08
2.97,102.31,2009-11-30 00:00:00,6.887160086619949e-08
2.97,102.31,2009-12-31 00:00:00,7.698624721144168e-08
