lat,lon,time,gpp
45.84,7.58,2008-01-31 00:00:00,8.835404411672878e-10
45.84,7.58,2008-02-28 00:00:00,2.674595299453523e-09
45.84,7.58,2008-03-31 00:00:00,1.7703999688383157e-09
45.84,7.58,2008-04-30 00:00:00,4.0748527264045865e-09
45.84,7.58,2008-05-31 00:00:00,1.5304900784737275e-08
45.84,7.58,2008-06-30 00:00:00,3.289315844829512e-08
45.84,7.58,2008-07-31 00:00:00,6.583229332946333e-08
45.84,7.58,2008-08-31 00:00:00,7.645106894407832e-08
45.84,7.58,2008-09-30 00:00:00,5.6645783973979036e-08
45.84,7.58,2008-10-31 00:00:00,3.555995698723414e-08
45.84,7.58,2008-11-30 00:00:00,1.1221985419111004e-08
45.84,7.58,2008-12-31 00:00:00,1.1039074640055376e-09
45.84,7.58,2009-01-31 00:00:00,1.0052159650292645e-09
45.84,7.58,2009-02-28 00:00:00,5.033468437992779e-10
45.84,7.58,2009-03-31 00:00:00,1.3769208706661147e-09
45.84,7.58,2009-04-30 00:00:00,5.755701927038674e-09
45.84,7.58,2009-05-31 00:00:00,1.4306885089691993e-08
45.84,7.58,2009-06-30 00:00:00,3.541108031143955e-08
45.84,7.58,2009-07-31 00:00:00,5.316057879863054e-08
45.84,7.58,2009-08-31 00:00:00,4.4878579727491104e-08
45.84,7.58,2009-09-30 00:00:00,3.048795514090484e-08
45.84,7.58,2009-10-31 00:00:00,2.0917840538738853e-08
45.84,7.58,2009-11-30 00:00:00,7.12831756124935e-09
45.84,7.58,2009-12-31 00:00:00,7.29150987177701e-10
45.84,7.58,2010-01-31 00:00:00,6.83824447556307e-10
45.84,7.58,2010-02-28 00:00:00,2.5101919008833724e-10
45.84,7.58,2010-03-31 00:00:00,6.978572128328832e-10
45.84,7.58,2010-04-30 00:00:00,5.181394132022662e-09
45.84,7.58,2010-05-31 00:00:00,9.731749828367402e-09
45.84,7.58,2010-06-30 00:00:00,2.4447854173439692e-08
45.84,7.58,2010-07-31 00:00:00,5.689479900788552e-08
45.84,7.58,2010-08-31 00:00:00,6.47257288073482e-08
45.84,7.58,2010-09-30 00:00:00,6.08812187962956e-08
45.84,7.58,2010-10-31 00:00:00,3.754230816181423e-08
45.84,7.58,2010-11-30 00:00:00,1.3789083974227164e-08
45.84,7.58,2010-12-31 00:00:00,7.424829898620615e-10
45.84,7.58,2011-01-31 00:00:00,9.635845156779897e-10
45.84,7.58,2011-02-28 00:00:00,8.084628574533613e-10
45.84,7.58,2011-03-31 00:00:00,1.4747330837391277e-09
45.84,7.58,2011-04-30 00:00:00,9.426814862251243e-09
45.84,7.58,2011-05-31 00:00:00,1.8591143747470878e-08
45.84,7.58,2011-06-30 00:00:00,4.159220874165304e-08
45.84,7.58,2011-07-31 00:00:00,7.40306223449792e-08
45.84,7.58,2011-08-31 00:00:00,9.111102113212634e-08
45.84,7.58,2011-09-30 00:00:00,8.803142272126568e-08
45.84,7.58,2011-10-31 00:00:00,4.660920689139957e-08
45.84,7.58,2011-11-30 00:00:00,2.4576940046385115e-08
45.84,7.58,2011-12-31 00:00:00,3.7294357170838735e-09
45.84,7.58,2012-01-31 00:00:00,1.1055412023106586e-09
45.84,7.58,2012-02-28 00:00:00,1.2208895871416502e-09
45.84,7.58,2012-03-31 00:00:00,4.819761200190956e-09
45.84,7.58,2012-04-30 00:00:00,6.031887611543329e-09
45.84,7.58,2012-05-31 00:00:00,1.4284962353883721e-08
45.84,7.58,2012-06-30 00:00:00,3.7770669980077205e-08
45.84,7.58,2012-07-31 00:00:00,7.186341920837382e-08
45.84,7.58,2012-08-31 00:00:00,7.866221902941848e-08
45.84,7.58,2012-09-30 00:00:00,4.941625470311794e-08
45.84,7.58,2012-10-31 00:00:00,3.8725237084751725e-08
45.84,7.58,2012-11-30 00:00:00,1.528692164031598e-08
45.84,7.58,2012-12-31 00:00:00,1.9487084929584914e-09
45.84,7.58,2013-01-31 00:00:00,1.884782115944186e-09
45.84,7.58,2013-02-28 00:00:00,4.4168254736959363e-10
45.84,7.58,2013-03-31 00:00:00,7.444729888712492e-10
45.84,7.58,2013-04-30 00:00:00,3.243963965097466e-09
45.84,7.58,2013-05-31 00:00:00,9.177969959685993e-09
45.84,7.58,2013-06-30 00:00:00,2.180487514813827e-08
45.84,7.58,2013-07-31 00:00:00,5.049196558328937e-08
45.84,7.58,2013-08-31 00:00:00,7.285032229120254e-08
45.84,7.58,2013-09-30 00:00:00,6.756268762092892e-08
45.84,7.58,2013-10-31 00:00:00,4.526480673683726e-08
45.84,7.58,2013-11-30 00:00:00,1.5533943171445924e-08
45.84,7.58,2013-12-31 00:00:00,4.017365814879606e-09
