lat,lon,time,gpp
52.17,5.74,1996-01-31 00:00:00,1.8345807666039863e-08
52.17,5.74,1996-02-28 00:00:00,2.214837858533634e-08
52.17,5.74,1996-03-31 00:00:00,4.4217784540814665e-08
52.17,5.74,1996-04-30 00:00:00,8.344075046986932e-08
52.17,5.74,1996-05-31 00:00:00,9.370109653513495e-08
52.17,5.74,1996-06-30 00:00:00,1.0734737951717907e-07
52.17,5.74,1996-07-31 00:00:00,9.585103162468996e-08
52.17,5.74,1996-08-31 00:00:00,8.50813108211614e-08
52.17,5.74,1996-09-30 00:00:00,7.723816445707067e-08
52.17,5.74,1996-10-31 00:00:00,5.764006963743547e-08
52.17,5.74,1996-11-30 00:00:00,2.6823522278486075e-08
52.17,5.74,1996-12-31 00:00:00,1.5697242337231007e-08
52.17,5.74,1997-01-31 00:00:00,1.4113964740441463e-08
52.17,5.74,1997-02-28 00:00:00,3.567957098151093e-08
52.17,5.74,1997-03-31 00:00:00,5.475372882199414e-08
52.17,5.74,1997-04-30 00:00:00,7.098306498552382e-08
52.17,5.74,1997-05-31 00:00:00,1.0257561246477533e-07
52.17,5.74,1997-06-30 00:00:00,1.2132732745246815e-07
52.17,5.74,1997-07-31 00:00:00,1.248930163499446e-07
52.17,5.74,1997-08-31 00:00:00,1.1415324649334895e-07
52.17,5.74,1997-09-30 00:00:00,9.192080691790894e-08
52.17,5.74,1997-10-31 00:00:00,5.432740330561208e-08
52.17,5.74,1997-11-30 00:00:00,3.032133168678056e-08
52.17,5.74,1997-12-31 00:00:00,2.0346297121502232e-08
52.17,5.74,1998-01-31 00:00:00,2.5277342643332073e-08
52.17,5.74,1998-02-28 00:00:00,4.101159113486302e-08
52.17,5.74,1998-03-31 00:00:00,5.0990051532877376e-08
52.17,5.74,1998-04-30 00:00:00,7.398140095044271e-08
52.17,5.74,1998-05-31 00:00:00,1.0840874494027349e-07
52.17,5.74,1998-06-30 00:00:00,1.152654590112259e-07
52.17,5.74,1998-07-31 00:00:00,1.1738086711805306e-07
52.17,5.74,1998-08-31 00:00:00,1.0827782075406476e-07
52.17,5.74,1998-09-30 00:00:00,8.338901632576248e-08
52.17,5.74,1998-10-31 00:00:00,4.370934813402257e-08
52.17,5.74,1998-11-30 00:00:00,2.7281947722922363e-08
52.17,5.74,1998-12-31 00:00:00,1.9922828485331787e-08
52.17,5.74,1999-01-31 00:00:00,2.4411339567331466e-08
52.17,5.74,1999-02-28 00:00:00,2.8358586220364406e-08
52.17,5.74,1999-03-31 00:00:00,5.3982138284748394e-08
