lat,lon,time,gpp
54.73,90.0,2002-01-31 00:00:00,5.551424837764569e-12
54.73,90.0,2002-02-28 00:00:00,2.0768005109269545e-13
54.73,90.0,2002-03-31 00:00:00,0.0
54.73,90.0,2002-04-30 00:00:00,1.9527944129465983e-09
54.73,90.0,2002-05-31 00:00:00,1.1956916519027396e-08
54.73,90.0,2002-06-30 00:00:00,2.3529403328401825e-08
54.73,90.0,2002-07-31 00:00:00,4.57610815370667e-08
54.73,90.0,2002-08-31 00:00:00,4.1120167286842537e-08
54.73,90.0,2002-09-30 00:00:00,1.5842413075997414e-08
54.73,90.0,2002-10-31 00:00:00,7.6940278264294e-09
54.73,90.0,2002-11-30 00:00:00,2.1530364447865236e-10
54.73,90.0,2002-12-31 00:00:00,8.376094616991973e-13
54.73,90.0,2003-01-31 00:00:00,0.0
54.73,90.0,2003-02-28 00:00:00,0.0
54.73,90.0,2003-03-31 00:00:00,0.0
54.73,90.0,2003-04-30 00:00:00,1.7859616762214246e-09
54.73,90.0,2003-05-31 00:00:00,6.154220775954977e-09
54.73,90.0,2003-06-30 00:00:00,1.5321180123381813e-08
54.73,90.0,2003-07-31 00:00:00,3.3328735984829774e-08
54.73,90.0,2003-08-31 00:00:00,6.964369802421485e-08
54.73,90.0,2003-09-30 00:00:00,6.29629464229499e-08
54.73,90.0,2003-10-31 00:00:00,1.9049556279455627e-08
54.73,90.0,2003-11-30 00:00:00,7.432284457599682e-10
54.73,90.0,2003-12-31 00:00:00,1.3582800532324069e-11
54.73,90.0,2004-01-31 00:00:00,1.7008667837788706e-12
54.73,90.0,2004-02-28 00:00:00,7.662296836843964e-15
54.73,90.0,2004-03-31 00:00:00,6.857947549569217e-18
54.73,90.0,2004-04-30 00:00:00,2.8853643414036018e-09
54.73,90.0,2004-05-31 00:00:00,1.2245455581250634e-08
54.73,90.0,2004-06-30 00:00:00,3.457608329960118e-08
54.73,90.0,2004-07-31 00:00:00,7.407104869912639e-08
54.73,90.0,2004-08-31 00:00:00,8.257449469981243e-08
54.73,90.0,2004-09-30 00:00:00,7.031852210610808e-08
54.73,90.0,2004-10-31 00:00:00,3.2639804999867274e-08
54.73,90.0,2004-11-30 00:00:00,4.126990377303811e-10
54.73,90.0,2004-12-31 00:00:00,1.3392754230113582e-11
