lat,lon,time,gpp
48.48,2.78,2005-01-31 00:00:00,9.47326369479801e-10
48.48,2.78,2005-02-28 00:00:00,3.091052236189431e-10
48.48,2.78,2005-03-31 00:00:00,7.451646407426212e-09
48.48,2.78,2005-04-30 00:00:00,2.3247406097673368e-08
48.48,2.78,2005-05-31 00:00:00,7.73236146828722e-08
48.48,2.78,2005-06-30 00:00:00,1.1545504761420786e-07
48.48,2.78,2005-07-31 00:00:00,1.2543397936546148e-07
48.48,2.78,2005-08-31 00:00:00,8.473559831591594e-08
48.48,2.78,2005-09-30 00:00:00,4.125232118784901e-08
48.48,2.78,2005-10-31 00:00:00,3.2144478159258804e-08
48.48,2.78,2005-11-30 00:00:00,1.0222110999427761e-08
48.48,2.78,2005-12-31 00:00:00,3.4708622904509143e-10
48.48,2.78,2006-01-31 00:00:00,2.044993405787529e-10
48.48,2.78,2006-02-28 00:00:00,2.48583884265761e-10
48.48,2.78,2006-03-31 00:00:00,1.9723162708542003e-09
48.48,2.78,2006-04-30 00:00:00,2.2261571687749847e-08
48.48,2.78,2006-05-31 00:00:00,6.876748644910855e-08
48.48,2.78,2006-06-30 00:00:00,1.2349038955054917e-07
48.48,2.78,2006-07-31 00:00:00,5.163584732120998e-08
48.48,2.78,2006-08-31 00:00:00,7.97529759181114e-08
48.48,2.78,2006-09-30 00:00:00,5.867101922163071e-08
48.48,2.78,2006-10-31 00:00:00,3.899516529594805e-08
48.48,2.78,2006-11-30 00:00:00,6.5625475129180625e-09
48.48,2.78,2006-12-31 00:00:00,2.3564950886063555e-09
48.48,2.78,2007-01-31 00:00:00,5.232180056015419e-10
48.48,2.78,2007-02-28 00:00:00,4.1621507033601064e-10
48.48,2.78,2007-03-31 00:00:00,9.990384552045957e-09
48.48,2.78,2007-04-30 00:00:00,2.659834358047472e-08
48.48,2.78,2007-05-31 00:00:00,6.138560014655315e-08
48.48,2.78,2007-06-30 00:00:00,1.1081986932491671e-07
48.48,2.78,2007-07-31 00:00:00,9.437607395249032e-08
48.48,2.78,2007-08-31 00:00:00,5.607122461526243e-08
