lat,lon,time,gpp
61.85,24.3,1996-01-31 00:00:00,2.828088577905498e-09
61.85,24.3,1996-02-28 00:00:00,1.0890072515373072e-09
61.85,24.3,1996-03-31 00:00:00,6.1419196698666264e-09
61.85,24.3,1996-04-30 00:00:00,3.7600900516267774e-08
61.85,24.3,1996-05-31 00:00:00,8.753154296480791e-08
61.85,24.3,1996-06-30 00:00:00,1.1485303599264971e-07
61.85,24.3,1996-07-31 00:00:00,1.1307640022580737e-07
61.85,24.3,1996-08-31 00:00:00,1.200153751868821e-07
61.85,24.3,1996-09-30 00:00:00,5.759877569716116e-08
61.85,24.3,1996-10-31 00:00:00,2.7401875876579534e-08
61.85,24.3,1996-11-30 00:00:00,1.0509875480053533e-08
61.85,24.3,1996-12-31 00:00:00,2.239897522794439e-09
61.85,24.3,1997-01-31 00:00:00,1.3710516282719728e-10
61.85,24.3,1997-02-28 00:00:00,3.442522256821023e-10
61.85,24.3,1997-03-31 00:00:00,4.786836422962592e-09
61.85,24.3,1997-04-30 00:00:00,1.2267066313672251e-08
61.85,24.3,1997-05-31 00:00:00,7.755891841602683e-08
61.85,24.3,1997-06-30 00:00:00,1.3589971969842155e-07
61.85,24.3,1997-07-31 00:00:00,1.3614862721472815e-07
61.85,24.3,1997-08-31 00:00:00,1.1936449601865276e-07
61.85,24.3,1997-09-30 00:00:00,6.611685249544769e-08
61.85,24.3,1997-10-31 00:00:00,2.573562482660171e-08
61.85,24.3,1997-11-30 00:00:00,8.40803635405253e-09
61.85,24.3,1997-12-31 00:00:00,1.2429223319153383e-09
61.85,24.3,1998-01-31 00:00:00,8.015406110594988e-10
61.85,24.3,1998-02-28 00:00:00,2.811463333948273e-11
61.85,24.3,1998-03-31 00:00:00,6.208515716722805e-10
61.85,24.3,1998-04-30 00:00:00,2.5741383415610683e-08
61.85,24.3,1998-05-31 00:00:00,8.335413039438565e-08
61.85,24.3,1998-06-30 00:00:00,1.1159133063422475e-07
61.85,24.3,1998-07-31 00:00:00,1.2457308991658747e-07
61.85,24.3,1998-08-31 00:00:00,9.618893848711457e-08
61.85,24.3,1998-09-30 00:00:00,6.917423594817173e-08
61.85,24.3,1998-10-31 00:00:00,3.0237250227815316e-08
61.85,24.3,1998-11-30 00:00:00,6.148208685944747e-09
61.85,24.3,1998-12-31 00:00:00,2.8537889610143346e-09
61.85,24.3,1999-01-31 00:00:00,1.8393903905142684e-09
61.85,24.3,1999-02-28 00:00:00,2.8196935596009875e-10
61.85,24.3,1999-03-31 00:00:00,2.2146947749666396e-09
61.85,24.3,1999-04-30 00:00:00,4.472674443924268e-08
